State,Year,Crop Name,Temperature Range,Yield (MT),Area (Ha)
Chhattisgarh,2020,Soybean,18-38,6338002,1100056
Chhattisgarh,2020,Wheat,18-38,5270623,924992
Chhattisgarh,2019,Groundnut,18-38,4333546,1884715
Chhattisgarh,2019,Maize,18-38,3066535,1278028
Chhattisgarh,2019,Rice,18-38,6186014,872738
Chhattisgarh,2019,Soybean,18-38,6730400,1790648
Chhattisgarh,2019,Wheat,18-38,3896522,1459749
Chhattisgarh,2018,Groundnut,18-38,2831667,951951
Chhattisgarh,2018,Maize,18-38,4730327,1490244
Chhattisgarh,2018,Rice,18-38,3857673,1426196
Chhattisgarh,2018,Soybean,18-38,1012150,661304
Chhattisgarh,2018,Wheat,18-38,4628944,1462082
Chhattisgarh,2017,Groundnut,18-38,3829286,1295329
Chhattisgarh,2017,Maize,18-38,2150260,613936
Chhattisgarh,2017,Rice,18-38,1473511,1203014
Chhattisgarh,2017,Soybean,18-38,5699723,1873000
Chhattisgarh,2017,Wheat,18-38,5040598,1868364
Chhattisgarh,2016,Groundnut,18-38,2230608,2012665
Chhattisgarh,2016,Maize,18-38,2951729,1461542
Chhattisgarh,2016,Rice,18-38,948927,385463
Chhattisgarh,2016,Soybean,18-38,1972248,1044078
Chhattisgarh,2016,Wheat,18-38,3496183,868304
Chhattisgarh,2015,Groundnut,18-38,3035740,1233873
Chhattisgarh,2015,Maize,18-38,2869352,1138967
Chhattisgarh,2015,Rice,18-38,4758253,1584180
Chhattisgarh,2015,Soybean,18-38,1976413,530450
Chhattisgarh,2015,Wheat,18-38,4531386,525903
Chhattisgarh,2014,Groundnut,18-38,4667412,1084736
Chhattisgarh,2014,Maize,18-38,3824260,1340058
Chhattisgarh,2014,Rice,18-38,846122,698208
Chhattisgarh,2014,Soybean,18-38,5032978,1597977
Chhattisgarh,2014,Wheat,18-38,3410584,673036
Chhattisgarh,2013,Groundnut,18-38,3200575,682487
Chhattisgarh,2013,Maize,18-38,2026312,1225425
Chhattisgarh,2013,Rice,18-38,2523644,1673961
Chhattisgarh,2013,Soybean,18-38,1125036,1496385
Chhattisgarh,2013,Wheat,18-38,3470316,399041
Chhattisgarh,2012,Groundnut,18-38,1839867,716178
Chhattisgarh,2012,Maize,18-38,2956657,443941
Chhattisgarh,2012,Rice,18-38,4064906,1054782
Chhattisgarh,2012,Soybean,18-38,802415,1114402
Chhattisgarh,2012,Wheat,18-38,1894915,1156562
Chhattisgarh,2011,Groundnut,18-38,3612660,730712
Chhattisgarh,2011,Maize,18-38,2534326,870070
Chhattisgarh,2011,Rice,18-38,1154647,1049315
Chhattisgarh,2011,Soybean,18-38,1547086,1043560
Chhattisgarh,2011,Wheat,18-38,3318752,958767
Chhattisgarh,2010,Groundnut,18-38,721436,519986
Chhattisgarh,2010,Maize,18-38,1997713,740824
Chhattisgarh,2010,Rice,18-38,2435374,1145394
Chhattisgarh,2010,Soybean,18-38,1248743,1086367
Chhattisgarh,2010,Wheat,18-38,4464616,1025597
Chhattisgarh,2009,Groundnut,18-38,4268070,1710309
Chhattisgarh,2009,Maize,18-38,2911782,581990
Chhattisgarh,2009,Rice,18-38,2258539,272296
Chhattisgarh,2009,Soybean,18-38,688723,364664
Chhattisgarh,2009,Wheat,18-38,652280,264806
Chhattisgarh,2008,Groundnut,18-38,2648097,922060
Chhattisgarh,2008,Maize,18-38,1202165,1290791
Chhattisgarh,2008,Rice,18-38,2176428,1362934
Chhattisgarh,2008,Soybean,18-38,1120596,522839
Chhattisgarh,2008,Wheat,18-38,2285939,1607284
Chhattisgarh,2007,Groundnut,18-38,2178760,1357324
Chhattisgarh,2007,Maize,18-38,1756793,274352
Chhattisgarh,2007,Rice,18-38,2745454,558388
Chhattisgarh,2007,Soybean,18-38,3131509,865750
Chhattisgarh,2007,Wheat,18-38,923136,503947
Chhattisgarh,2006,Groundnut,18-38,1343814,1495210
Chhattisgarh,2006,Maize,18-38,1384994,1166590
Chhattisgarh,2006,Rice,18-38,1961032,426638
Chhattisgarh,2006,Soybean,18-38,2558065,1218551
Chhattisgarh,2006,Wheat,18-38,2240589,917054
Chhattisgarh,2005,Groundnut,18-38,1360829,934464
Chhattisgarh,2005,Maize,18-38,3670767,850028
Chhattisgarh,2005,Rice,18-38,2536286,1208516
Chhattisgarh,2005,Soybean,18-38,2677365,1239788
Chhattisgarh,2005,Wheat,18-38,3701521,1045450
Chhattisgarh,2004,Groundnut,18-38,751266,795649
Chhattisgarh,2004,Maize,18-38,1986715,984597
Chhattisgarh,2004,Rice,18-38,3858507,481976
Chhattisgarh,2004,Soybean,18-38,3187649,310957
Chhattisgarh,2004,Wheat,18-38,2038738,664702
Chhattisgarh,2003,Groundnut,18-38,1293076,216829
Chhattisgarh,2003,Maize,18-38,1934201,1060653
Chhattisgarh,2003,Rice,18-38,1442402,882223
Chhattisgarh,2003,Soybean,18-38,2830652,1041836
Chhattisgarh,2003,Wheat,18-38,2466761,733640
Chhattisgarh,2002,Groundnut,18-38,3449200,635788
Chhattisgarh,2002,Maize,18-38,2203801,1271327
Chhattisgarh,2002,Rice,18-38,3852459,813042
Chhattisgarh,2002,Soybean,18-38,1803803,681389
Chhattisgarh,2002,Wheat,18-38,2905968,615719
Chhattisgarh,2001,Groundnut,18-38,3157457,1124427
Chhattisgarh,2001,Maize,18-38,2823478,406246
Chhattisgarh,2001,Rice,18-38,1215858,200016
Chhattisgarh,2001,Soybean,18-38,829164,933552
Chhattisgarh,2001,Wheat,18-38,1662090,725263
Chhattisgarh,2000,Groundnut,18-38,2681680,600894
Chhattisgarh,2000,Maize,18-38,967539,794160
Chhattisgarh,2000,Rice,18-38,1033500,1060886
Chhattisgarh,2000,Soybean,18-38,1202634,805979
Chhattisgarh,2000,Wheat,18-38,2190836,1117930
Goa,2024,Areca nut,22-33,3777471,1482554
Goa,2024,Cashew,22-33,2498483,1683015
Goa,2024,Coconut,22-33,5757690,1493236
Goa,2024,Rice,22-33,7115593,581975
Goa,2023,Areca nut,22-33,4138407,685551
Goa,2023,Cashew,22-33,954723,1473653
Goa,2023,Coconut,22-33,5271201,2374507
Goa,2023,Rice,22-33,3462299,1818675
Goa,2022,Areca nut,22-33,4839291,1477642
Goa,2022,Cashew,22-33,5301157,1071228
Goa,2022,Coconut,22-33,4745251,2334421
Goa,2022,Rice,22-33,1458081,1828843
Goa,2021,Areca nut,22-33,2615272,790092
Goa,2021,Cashew,22-33,7308335,2264295
Goa,2021,Coconut,22-33,1682188,1924378
Goa,2021,Rice,22-33,3243565,938909
Goa,2020,Areca nut,22-33,1275934,1145652
Goa,2020,Cashew,22-33,3448663,510168
Goa,2020,Coconut,22-33,2171104,1405365
Goa,2020,Rice,22-33,5130853,548847
Goa,2019,Areca nut,22-33,3946597,1322195
Goa,2019,Cashew,22-33,1327390,857699
Goa,2019,Coconut,22-33,4555109,478811
Goa,2019,Rice,22-33,2486418,659338
Goa,2018,Areca nut,22-33,5151813,781770
Goa,2018,Cashew,22-33,2099201,2077614
Goa,2018,Coconut,22-33,3313400,409662
Goa,2018,Rice,22-33,1196521,1456966
Goa,2017,Areca nut,22-33,1833372,354722
Goa,2017,Cashew,22-33,4712666,531709
Goa,2017,Coconut,22-33,1040290,1435126
Goa,2017,Rice,22-33,3380964,680123
Goa,2016,Areca nut,22-33,5794278,655797
Goa,2016,Cashew,22-33,2614721,1488510
Goa,2016,Coconut,22-33,1741397,825951
Goa,2016,Rice,22-33,1427834,1035127
Goa,2015,Areca nut,22-33,1078343,989882
Goa,2015,Cashew,22-33,1702405,1149570
Goa,2015,Coconut,22-33,3411143,1673295
Goa,2015,Rice,22-33,2783648,1528478
Goa,2014,Areca nut,22-33,3121533,735499
Goa,2014,Cashew,22-33,4123646,398734
Goa,2014,Coconut,22-33,2300094,312632
Goa,2014,Rice,22-33,4035534,1229372
Goa,2013,Areca nut,22-33,1268009,1289808
Goa,2013,Cashew,22-33,4171880,1645831
Goa,2013,Coconut,22-33,3552699,892214
Goa,2013,Rice,22-33,3727304,426060
Goa,2012,Areca nut,22-33,4697904,1109227
Goa,2012,Cashew,22-33,1887628,497231
Goa,2012,Coconut,22-33,2624766,1814373
Goa,2012,Rice,22-33,1077550,1492243
Goa,2011,Areca nut,22-33,2585826,1530741
Goa,2011,Cashew,22-33,3071994,1354794
Goa,2011,Coconut,22-33,1075994,868729
Goa,2011,Rice,22-33,2219810,1200816
Goa,2010,Areca nut,22-33,1242482,1529953
Goa,2010,Cashew,22-33,692363,1346328
Goa,2010,Coconut,22-33,1671212,806623
Goa,2010,Rice,22-33,3775069,1343351
Goa,2009,Areca nut,22-33,3775177,1142030
Goa,2009,Cashew,22-33,3008292,817130
Goa,2009,Coconut,22-33,3658034,889454
Goa,2009,Rice,22-33,856527,962243
Goa,2008,Areca nut,22-33,2210466,1205637
Goa,2008,Cashew,22-33,4227562,1140240
Goa,2008,Coconut,22-33,3507043,884050
Goa,2008,Rice,22-33,958634,1390437
Goa,2007,Areca nut,22-33,2145848,363362
Goa,2007,Cashew,22-33,3020678,531492
Goa,2007,Coconut,22-33,916594,462961
Goa,2007,Rice,22-33,4238021,283748
Goa,2006,Areca nut,22-33,1519380,770633
Goa,2006,Cashew,22-33,1208949,1159594
Goa,2006,Coconut,22-33,3027951,848992
Goa,2006,Rice,22-33,1383329,211898
Goa,2005,Areca nut,22-33,3471239,704663
Goa,2005,Cashew,22-33,1303857,1043683
Goa,2005,Coconut,22-33,4172504,273577
Goa,2005,Rice,22-33,2327612,440576
Goa,2004,Areca nut,22-33,1062550,376010
Goa,2004,Cashew,22-33,2354396,915966
Goa,2004,Coconut,22-33,1570106,311733
Goa,2004,Rice,22-33,3258592,937580
Goa,2003,Areca nut,22-33,3213555,515456
Goa,2003,Cashew,22-33,1738189,1179877
Goa,2003,Coconut,22-33,584613,1079933
Goa,2003,Rice,22-33,3460266,1191828
Goa,2002,Areca nut,22-33,2896689,739046
Goa,2002,Cashew,22-33,3330279,470141
Goa,2002,Coconut,22-33,576027,398264
Goa,2002,Rice,22-33,3685551,852156
Goa,2001,Areca nut,22-33,1573388,448470
Goa,2001,Cashew,22-33,1204027,1013230
Goa,2001,Coconut,22-33,3074251,394399
Goa,2001,Rice,22-33,3882830,1203773
Goa,2000,Areca nut,22-33,1964112,814225
Goa,2000,Cashew,22-33,1773566,974341
Goa,2000,Coconut,22-33,1305367,557067
Goa,2000,Rice,22-33,1061724,203322
Gujarat,2024,Bajra,20-40,3052878,2102875
Gujarat,2024,Castor,20-40,5075454,667471
Gujarat,2024,Cotton,20-40,2392852,3198807
Gujarat,2024,Groundnut,20-40,7509400,3880648
Gujarat,2024,Rice,20-40,4255865,1514083
Gujarat,2024,Wheat,20-40,1385851,569463
Gujarat,2023,Bajra,20-40,3476494,1058099
Gujarat,2023,Castor,20-40,4279121,558159
Gujarat,2023,Cotton,20-40,2834446,3782531
Gujarat,2023,Groundnut,20-40,6382046,3276140
Gujarat,2023,Rice,20-40,1259267,919491
Gujarat,2023,Wheat,20-40,4415240,1490042
Gujarat,2022,Bajra,20-40,2612899,1472755
Gujarat,2022,Castor,20-40,3957203,992309
Gujarat,2022,Cotton,20-40,2535586,3376454
Gujarat,2022,Groundnut,20-40,5773762,2965519
Gujarat,2022,Rice,20-40,3081918,1206421
Gujarat,2022,Wheat,20-40,2121614,1952319
Gujarat,2021,Bajra,20-40,5186031,1290484
Gujarat,2021,Castor,20-40,4709973,1354237
Gujarat,2021,Cotton,20-40,3950499,5272578
Gujarat,2021,Groundnut,20-40,5287900,2729646
Gujarat,2021,Rice,20-40,1395256,1782244
Gujarat,2021,Wheat,20-40,3279787,1615599
Gujarat,2020,Bajra,20-40,2032696,1438889
Gujarat,2020,Castor,20-40,1830142,412232
Gujarat,2020,Cotton,20-40,3305110,4394862
Gujarat,2020,Groundnut,20-40,5025706,2601175
Gujarat,2020,Rice,20-40,1313181,1310675
Gujarat,2020,Wheat,20-40,2220256,1554384
Gujarat,2019,Bajra,20-40,1572696,580620
Gujarat,2019,Castor,20-40,5419250,1685910
Gujarat,2019,Cotton,20-40,2371846,3154534
Gujarat,2019,Groundnut,20-40,5882206,3035389
Gujarat,2019,Rice,20-40,1881368,379767
Gujarat,2019,Wheat,20-40,3256423,1397826
Gujarat,2018,Bajra,20-40,2692762,561856
Gujarat,2018,Castor,20-40,2298126,798916
Gujarat,2018,Cotton,20-40,2418837,3229430
Gujarat,2018,Groundnut,20-40,4673466,2416251
Gujarat,2018,Rice,20-40,1920571,634541
Gujarat,2018,Wheat,20-40,4075235,719404
Gujarat,2017,Bajra,20-40,3325311,956827
Gujarat,2017,Castor,20-40,4728855,1121751
Gujarat,2017,Cotton,20-40,2511873,3357503
Gujarat,2017,Groundnut,20-40,6232482,3213324
Gujarat,2017,Rice,20-40,3406900,787742
Gujarat,2017,Wheat,20-40,4120339,941026
Gujarat,2016,Bajra,20-40,4164172,1393396
Gujarat,2016,Castor,20-40,1108069,987010
Gujarat,2016,Cotton,20-40,3039940,4047690
Gujarat,2016,Groundnut,20-40,5606451,2877740
Gujarat,2016,Rice,20-40,3869130,1057245
Gujarat,2016,Wheat,20-40,2447340,371726
Gujarat,2015,Bajra,20-40,3985083,372533
Gujarat,2015,Castor,20-40,5387655,562032
Gujarat,2015,Cotton,20-40,2538591,3390325
Gujarat,2015,Groundnut,20-40,3859022,2000116
Gujarat,2015,Rice,20-40,835015,735491
Gujarat,2015,Wheat,20-40,2074873,617727
Gujarat,2014,Bajra,20-40,3168500,1914298
Gujarat,2014,Castor,20-40,2570701,673534
Gujarat,2014,Cotton,20-40,3285975,4366921
Gujarat,2014,Groundnut,20-40,4817058,2476822
Gujarat,2014,Rice,20-40,1812400,578042
Gujarat,2014,Wheat,20-40,2284075,1315306
Gujarat,2013,Bajra,20-40,2501712,377935
Gujarat,2013,Castor,20-40,3916334,990324
Gujarat,2013,Cotton,20-40,2118433,2824308
Gujarat,2013,Groundnut,20-40,4019210,2077920
Gujarat,2013,Rice,20-40,1771244,862969
Gujarat,2013,Wheat,20-40,2935728,389474
Gujarat,2012,Bajra,20-40,1281348,563561
Gujarat,2012,Castor,20-40,2345206,1060419
Gujarat,2012,Cotton,20-40,2210240,2937274
Gujarat,2012,Groundnut,20-40,4017598,2081489
Gujarat,2012,Rice,20-40,1353150,433415
Gujarat,2012,Wheat,20-40,2925359,890064
Gujarat,2011,Bajra,20-40,871087,999241
Gujarat,2011,Castor,20-40,3277284,1155197
Gujarat,2011,Cotton,20-40,2530178,3359956
Gujarat,2011,Groundnut,20-40,3940172,2026402
Gujarat,2011,Rice,20-40,3944520,629709
Gujarat,2011,Wheat,20-40,3411984,408281
Gujarat,2010,Bajra,20-40,2220413,1301817
Gujarat,2010,Castor,20-40,995407,270170
Gujarat,2010,Cotton,20-40,2329686,3105236
Gujarat,2010,Groundnut,20-40,4353540,2241373
Gujarat,2010,Rice,20-40,3609086,1274766
Gujarat,2010,Wheat,20-40,1691133,1697743
Gujarat,2009,Bajra,20-40,2120403,778237
Gujarat,2009,Castor,20-40,874147,1239690
Gujarat,2009,Cotton,20-40,2269021,3015608
Gujarat,2009,Groundnut,20-40,3359153,1737621
Gujarat,2009,Rice,20-40,3433915,673111
Gujarat,2009,Wheat,20-40,3560158,1372681
Gujarat,2008,Bajra,20-40,4357981,959261
Gujarat,2008,Castor,20-40,3791801,1469324
Gujarat,2008,Cotton,20-40,2086704,2774625
Gujarat,2008,Groundnut,20-40,4640267,2383525
Gujarat,2008,Rice,20-40,1889480,563818
Gujarat,2008,Wheat,20-40,2923685,1091857
Gujarat,2007,Bajra,20-40,2216249,399743
Gujarat,2007,Castor,20-40,2067716,981783
Gujarat,2007,Cotton,20-40,2372382,3155302
Gujarat,2007,Groundnut,20-40,3444144,1778923
Gujarat,2007,Rice,20-40,2187774,862135
Gujarat,2007,Wheat,20-40,3064105,346784
Gujarat,2006,Bajra,20-40,3487957,1134555
Gujarat,2006,Castor,20-40,1302766,723827
Gujarat,2006,Cotton,20-40,2109343,2812396
Gujarat,2006,Groundnut,20-40,3727357,1922230
Gujarat,2006,Rice,20-40,3078605,909845
Gujarat,2006,Wheat,20-40,1638126,1224343
Gujarat,2005,Bajra,20-40,2710732,386757
Gujarat,2005,Castor,20-40,1014829,912604
Gujarat,2005,Cotton,20-40,2173706,2898401
Gujarat,2005,Groundnut,20-40,3239436,1674299
Gujarat,2005,Rice,20-40,2431036,473472
Gujarat,2005,Wheat,20-40,1806187,1091374
Gujarat,2004,Bajra,20-40,2082633,762242
Gujarat,2004,Castor,20-40,1348808,672014
Gujarat,2004,Cotton,20-40,2083978,2778885
Gujarat,2004,Groundnut,20-40,3480591,1792647
Gujarat,2004,Rice,20-40,3322842,392861
Gujarat,2004,Wheat,20-40,2538747,1169046
Gujarat,2003,Bajra,20-40,3003691,679687
Gujarat,2003,Castor,20-40,2365683,1034341
Gujarat,2003,Cotton,20-40,1841680,2458662
Gujarat,2003,Groundnut,20-40,3450638,1781591
Gujarat,2003,Rice,20-40,2172808,1004342
Gujarat,2003,Wheat,20-40,903329,1249294
Gujarat,2002,Bajra,20-40,3173451,222564
Gujarat,2002,Castor,20-40,1821739,936913
Gujarat,2002,Cotton,20-40,1979933,2631500
Gujarat,2002,Groundnut,20-40,3024571,1567924
Gujarat,2002,Rice,20-40,1163535,1045179
Gujarat,2002,Wheat,20-40,2177845,1045531
Gujarat,2001,Bajra,20-40,2713646,1233897
Gujarat,2001,Castor,20-40,1090178,775559
Gujarat,2001,Cotton,20-40,1956616,2601294
Gujarat,2001,Groundnut,20-40,3517417,1808550
Gujarat,2001,Rice,20-40,1455531,468642
Gujarat,2001,Wheat,20-40,1045588,374675
Gujarat,2000,Bajra,20-40,1428475,301351
Gujarat,2000,Castor,20-40,1689607,480356
Gujarat,2000,Cotton,20-40,1770766,2362971
Gujarat,2000,Groundnut,20-40,3435089,1765157
Gujarat,2000,Rice,20-40,656863,496726
Gujarat,2000,Wheat,20-40,3202231,604259
Haryana,2024,Bajra,10-35,4649496,477898
Haryana,2024,Mustard,10-35,5695740,485443
Haryana,2024,Rice,10-35,6217749,1701835
Haryana,2024,Sugarcane,10-35,4859413,1838618
Haryana,2024,Wheat,10-35,12896866,3378263
Haryana,2023,Bajra,10-35,4207459,1376827
Haryana,2023,Mustard,10-35,3937181,1956136
Haryana,2023,Rice,10-35,10047412,2745268
Haryana,2023,Sugarcane,10-35,965103,1581766
Haryana,2023,Wheat,10-35,12594832,3273205
Haryana,2022,Bajra,10-35,3634384,1821788
Haryana,2022,Mustard,10-35,1449556,1650853
Haryana,2022,Rice,10-35,6462668,1773581
Haryana,2022,Sugarcane,10-35,5880856,410163
Haryana,2022,Wheat,10-35,18762843,4888245
Haryana,2021,Bajra,10-35,1986165,1487606
Haryana,2021,Mustard,10-35,4521624,2540938
Haryana,2021,Rice,10-35,6053105,1659688
Haryana,2021,Sugarcane,10-35,6579005,880979
Haryana,2021,Wheat,10-35,17767545,4624292
Haryana,2020,Bajra,10-35,2797045,652025
Haryana,2020,Mustard,10-35,3885988,1838850
Haryana,2020,Rice,10-35,8836215,2417910
Haryana,2020,Sugarcane,10-35,6249316,1121161
Haryana,2020,Wheat,10-35,14107338,3671626
Haryana,2019,Bajra,10-35,3111873,1320273
Haryana,2019,Mustard,10-35,1434261,1556616
Haryana,2019,Rice,10-35,5032535,1378845
Haryana,2019,Sugarcane,10-35,1678692,1786679
Haryana,2019,Wheat,10-35,14216749,3727253
Haryana,2018,Bajra,10-35,2527889,580168
Haryana,2018,Mustard,10-35,1640800,1575211
Haryana,2018,Rice,10-35,7280118,2004425
Haryana,2018,Sugarcane,10-35,4549233,1706540
Haryana,2018,Wheat,10-35,13047750,3400097
Haryana,2017,Bajra,10-35,2923750,673388
Haryana,2017,Mustard,10-35,3800021,1025508
Haryana,2017,Rice,10-35,6941079,1908162
Haryana,2017,Sugarcane,10-35,2233850,498356
Haryana,2017,Wheat,10-35,13006910,3408626
Haryana,2016,Bajra,10-35,3585770,602939
Haryana,2016,Mustard,10-35,1750454,1617846
Haryana,2016,Rice,10-35,6549936,1793802
Haryana,2016,Sugarcane,10-35,955519,1312864
Haryana,2016,Wheat,10-35,12491070,3263735
Haryana,2015,Bajra,10-35,1740110,749558
Haryana,2015,Mustard,10-35,4272727,1043492
Haryana,2015,Rice,10-35,5126187,1411280
Haryana,2015,Sugarcane,10-35,2098826,1406907
Haryana,2015,Wheat,10-35,14478741,3776622
Haryana,2014,Bajra,10-35,3459851,821850
Haryana,2014,Mustard,10-35,4695133,566828
Haryana,2014,Rice,10-35,6353182,1733840
Haryana,2014,Sugarcane,10-35,2221694,437956
Haryana,2014,Wheat,10-35,12364105,3224212
Haryana,2013,Bajra,10-35,3921095,1699744
Haryana,2013,Mustard,10-35,2951933,476239
Haryana,2013,Rice,10-35,5894086,1608596
Haryana,2013,Sugarcane,10-35,4323360,1387227
Haryana,2013,Wheat,10-35,13700884,3576120
Haryana,2012,Bajra,10-35,3528190,580261
Haryana,2012,Mustard,10-35,3356322,966665
Haryana,2012,Rice,10-35,6672552,1827156
Haryana,2012,Sugarcane,10-35,3220916,959945
Haryana,2012,Wheat,10-35,11715439,3063744
Haryana,2011,Bajra,10-35,3599560,1343987
Haryana,2011,Mustard,10-35,3881507,1030911
Haryana,2011,Rice,10-35,5559298,1523551
Haryana,2011,Sugarcane,10-35,2499558,1023438
Haryana,2011,Wheat,10-35,12090486,3166095
Haryana,2010,Bajra,10-35,3039952,342306
Haryana,2010,Mustard,10-35,3063064,1201091
Haryana,2010,Rice,10-35,6113277,1673893
Haryana,2010,Sugarcane,10-35,3216507,277918
Haryana,2010,Wheat,10-35,12701424,3320858
Haryana,2009,Bajra,10-35,2071231,395441
Haryana,2009,Mustard,10-35,3597400,409168
Haryana,2009,Rice,10-35,5719708,1565099
Haryana,2009,Sugarcane,10-35,2392956,424855
Haryana,2009,Wheat,10-35,11301817,2939459
Haryana,2008,Bajra,10-35,735482,434985
Haryana,2008,Mustard,10-35,3096228,1402079
Haryana,2008,Rice,10-35,5621022,1535703
Haryana,2008,Sugarcane,10-35,598435,1383703
Haryana,2008,Wheat,10-35,11726976,3067133
Haryana,2007,Bajra,10-35,1314508,253846
Haryana,2007,Mustard,10-35,690864,280100
Haryana,2007,Rice,10-35,4564001,1251222
Haryana,2007,Sugarcane,10-35,2072693,865759
Haryana,2007,Wheat,10-35,11228378,2926501
Haryana,2006,Bajra,10-35,723406,681800
Haryana,2006,Mustard,10-35,2812529,1114329
Haryana,2006,Rice,10-35,5369274,1464635
Haryana,2006,Sugarcane,10-35,3895566,778510
Haryana,2006,Wheat,10-35,10273551,2685775
Haryana,2005,Bajra,10-35,3243326,523819
Haryana,2005,Mustard,10-35,1663525,584288
Haryana,2005,Rice,10-35,4651762,1276306
Haryana,2005,Sugarcane,10-35,3105360,441432
Haryana,2005,Wheat,10-35,11956818,3106713
Haryana,2004,Bajra,10-35,4294180,259310
Haryana,2004,Mustard,10-35,2426200,642630
Haryana,2004,Rice,10-35,5072172,1383121
Haryana,2004,Sugarcane,10-35,1597820,306015
Haryana,2004,Wheat,10-35,10541581,2738456
Haryana,2003,Bajra,10-35,3479522,328212
Haryana,2003,Mustard,10-35,2652100,1241185
Haryana,2003,Rice,10-35,4527286,1238941
Haryana,2003,Sugarcane,10-35,957968,896039
Haryana,2003,Wheat,10-35,10011622,2606468
Haryana,2002,Bajra,10-35,1779786,426053
Haryana,2002,Mustard,10-35,2479294,803516
Haryana,2002,Rice,10-35,4723172,1288856
Haryana,2002,Sugarcane,10-35,1236178,1120412
Haryana,2002,Wheat,10-35,10001078,2607193
Haryana,2001,Bajra,10-35,3135328,870338
Haryana,2001,Mustard,10-35,3092103,534669
Haryana,2001,Rice,10-35,4549082,1241932
Haryana,2001,Sugarcane,10-35,3597342,397789
Haryana,2001,Wheat,10-35,8511246,2231844
Haryana,2000,Bajra,10-35,3098087,983420
Haryana,2000,Mustard,10-35,549227,746400
Haryana,2000,Rice,10-35,4080153,1118826
Haryana,2000,Sugarcane,10-35,2000999,443064
Haryana,2000,Wheat,10-35,8480372,2221658
Himachal Pradesh,2024,Barley,0-28,3527844,2025857
Himachal Pradesh,2024,Maize,0-28,4116342,379455
Himachal Pradesh,2024,Rice,0-28,1172511,1390146
Himachal Pradesh,2024,Wheat,0-28,3966803,1145399
Himachal Pradesh,2023,Barley,0-28,2303257,1212422
Himachal Pradesh,2023,Maize,0-28,1202212,901309
Himachal Pradesh,2023,Rice,0-28,4845965,1997664
Himachal Pradesh,2023,Wheat,0-28,1291149,2604314
Himachal Pradesh,2022,Barley,0-28,1799962,1207281
Himachal Pradesh,2022,Maize,0-28,3068400,1142531
Himachal Pradesh,2022,Rice,0-28,7910134,1725173
Himachal Pradesh,2022,Wheat,0-28,3326713,891989
Himachal Pradesh,2021,Barley,0-28,2686418,1929990
Himachal Pradesh,2021,Maize,0-28,1877123,583830
Himachal Pradesh,2021,Rice,0-28,1825916,745206
Himachal Pradesh,2021,Wheat,0-28,6150102,2240293
Himachal Pradesh,2020,Barley,0-28,3644161,990034
Himachal Pradesh,2020,Maize,0-28,1873260,1820730
Himachal Pradesh,2020,Rice,0-28,6476528,1265677
Himachal Pradesh,2020,Wheat,0-28,3045876,308358
Himachal Pradesh,2019,Barley,0-28,4379994,2281481
Himachal Pradesh,2019,Maize,0-28,3354850,1136100
Himachal Pradesh,2019,Rice,0-28,1841937,1088315
Himachal Pradesh,2019,Wheat,0-28,1076427,449902
Himachal Pradesh,2018,Barley,0-28,1973478,1089414
Himachal Pradesh,2018,Maize,0-28,5136837,1709343
Himachal Pradesh,2018,Rice,0-28,777543,1446247
Himachal Pradesh,2018,Wheat,0-28,2356509,358471
Himachal Pradesh,2017,Barley,0-28,2470188,1608411
Himachal Pradesh,2017,Maize,0-28,3614187,1333302
Himachal Pradesh,2017,Rice,0-28,2836344,598504
Himachal Pradesh,2017,Wheat,0-28,2245707,735430
Himachal Pradesh,2016,Barley,0-28,3147422,1201710
Himachal Pradesh,2016,Maize,0-28,1866703,1872593
Himachal Pradesh,2016,Rice,0-28,3375689,385242
Himachal Pradesh,2016,Wheat,0-28,3562227,848626
Himachal Pradesh,2015,Barley,0-28,2315580,504058
Himachal Pradesh,2015,Maize,0-28,2441363,2147651
Himachal Pradesh,2015,Rice,0-28,4317126,574645
Himachal Pradesh,2015,Wheat,0-28,4392878,974582
Himachal Pradesh,2014,Barley,0-28,2130455,1279142
Himachal Pradesh,2014,Maize,0-28,1756453,1573978
Himachal Pradesh,2014,Rice,0-28,782930,624226
Himachal Pradesh,2014,Wheat,0-28,1343929,1168090
Himachal Pradesh,2013,Barley,0-28,5399579,1815897
Himachal Pradesh,2013,Maize,0-28,2962280,508408
Himachal Pradesh,2013,Rice,0-28,1239912,408248
Himachal Pradesh,2013,Wheat,0-28,1188945,788558
Himachal Pradesh,2012,Barley,0-28,2880599,726865
Himachal Pradesh,2012,Maize,0-28,4581945,1242772
Himachal Pradesh,2012,Rice,0-28,2870626,1152161
Himachal Pradesh,2012,Wheat,0-28,4263075,1008350
Himachal Pradesh,2011,Barley,0-28,3501093,1424513
Himachal Pradesh,2011,Maize,0-28,1892661,482097
Himachal Pradesh,2011,Rice,0-28,1545352,364649
Himachal Pradesh,2011,Wheat,0-28,1760486,1644896
Himachal Pradesh,2010,Barley,0-28,2850328,958684
Himachal Pradesh,2010,Maize,0-28,4085555,1317767
Himachal Pradesh,2010,Rice,0-28,3605284,1238831
Himachal Pradesh,2010,Wheat,0-28,4504404,1442586
Himachal Pradesh,2009,Barley,0-28,4142029,1154117
Himachal Pradesh,2009,Maize,0-28,1165577,541408
Himachal Pradesh,2009,Rice,0-28,3555681,1157201
Himachal Pradesh,2009,Wheat,0-28,2931098,596868
